k_h_per_mpc,sobol_baseline_p68_k,this_method_p68_k,improvement_fraction
1.083824872970581,0.02154274894840258,0.01606950439055668,0.25406435227718455
1.090108036994934,0.02152676211171505,0.016046645358439315,0.25457227263608806
1.096389651298523,0.02151848130601435,0.016023098678823944,0.2553796687154898
1.1026811599731445,0.021509474595549662,0.015998539381616973,0.25620966190745115
1.1089630126953125,0.021496138623220862,0.015978489180575962,0.2566809574201641
1.1152254343032837,0.02148930578877306,0.015947255980653142,0.25789803833566943
1.121502161026001,0.021471661705470834,0.01591664467084013,0.25871388581049237
1.1277925968170166,0.021465446101878262,0.01590447632501233,0.2590661172599314
1.1340895891189575,0.021441599811500824,0.015882819842041363,0.25925210890643746
1.1403640508651733,0.021419604024947338,0.015871608315421958,0.2590148586810311
1.1466392278671265,0.021391671791945743,0.015844668671376995,0.25930666731046564
1.152942419052124,0.021372596642326557,0.015829112279066537,0.25937346107405757
1.1592289209365845,0.02134579785209567,0.015804914845056705,0.259577226648147
1.16550874710083,0.02132018302200218,0.015786187183531596,0.2595660568560582
1.1717931032180786,0.02129798781568195,0.015766292381385983,0.25972854723031236
1.1780874729156494,0.02128789102563582,0.015745210635410855,0.2603677547743092
1.1843676567077637,0.021270366084451143,0.01572856061990664,0.2605411417246655
1.1906346082687378,0.02125448496360276,0.015706543223169844,0.26102452023342315
1.196912169456482,0.02123760861223074,0.015686875725054384,0.2613633666824281
1.2032015323638916,0.021226648448219844,0.015670681889881855,0.26174488035128013
1.2094868421554565,0.021208335757310605,0.015635214990565062,0.26277973106986785
1.2157639265060425,0.021189574603395656,0.015604413755273128,0.2635806028511539
1.2220497131347656,0.021171485395615218,0.015572020419373177,0.2644814415053624
1.2283406257629395,0.021154738047858813,0.01553748297537121,0.26553177164281444
1.234632968902588,0.021139552701934284,0.015508312008613757,0.26638409869501467
1.240902304649353,0.0211230529090638,0.015472252255633779,0.26751817920246224
1.247174859046936,0.021105569696103155,0.015473440858509813,0.26685509648352373
1.2534654140472412,0.021090962776842703,0.015464209476426216,0.2667850377411176
1.2597500085830688,0.02107488545913534,0.015460192156436259,0.2664163140334068
1.266032099723816,0.02105798272736048,0.015453745917220197,0.2661336027623738
1.272316336631775,0.021041238758121715,0.015444358050796093,0.2659957796051946
1.2786041498184204,0.02103068223974085,0.015432550252338207,0.2661887961401497
1.2848865985870361,0.021011915966267305,0.015423299612893104,0.2659736676248948
1.291175365447998,0.020995140803522227,0.015413446281685617,0.26585649384643345
1.2974656820297241,0.020983227468136346,0.015402459271912484,0.2659632892365307
1.3037418127059937,0.02096549809616599,0.015393032880269365,0.2657921691312297
1.3100173473358154,0.020951994907774687,0.015381076779109515,0.26588962784627074
1.3163014650344849,0.020934434691801142,0.015372096638720767,0.26570280664224644
1.3225867748260498,0.020921436760315614,0.015359427294589634,0.26585217494604196
1.3288655281066895,0.020907288678429305,0.015347790751806945,0.26591195119232586
1.3351447582244873,0.020892467160160334,0.015335351714682035,0.2659865588337559
1.3414405584335327,0.02087441863467183,0.015320934088661798,0.2660425970755348
1.3477308750152588,0.02086388074238772,0.015304302015384198,0.266469061803469
1.3540016412734985,0.02084905682675946,0.01529115637715588,0.2665780277633517
1.3602826595306396,0.020831504131783342,0.01527777363535634,0.26660247197193426
1.3665657043457031,0.020819666747984744,0.015263131838774502,0.26688875362272985
1.3728514909744263,0.020805106302594335,0.015249891925846538,0.26701206405540345
1.3791353702545166,0.02079507529913891,0.015229082679538286,0.2676591711995918
1.3854095935821533,0.020774823068018568,0.01519947168674214,0.26837058313431816
1.3916985988616943,0.020766165368151235,0.015179005062128504,0.2690511323092744
1.397984504699707,0.020751912601873323,0.015158920344773508,0.26951695317929025
1.4042679071426392,0.020737226541577104,0.01513665433367224,0.27007334836584806
1.4105547666549683,0.020724600990253084,0.015116743134639976,0.2705894245322513
